ID,brand_id,alt_id
1,1,44
2,2,32
3,3,46
4,4,31
5,5,44
6,6,46
7,7,34
8,8,40
9,9,46
10,10,46
11,11,46
12,12,33
13,13,42
14,14,33
15,15,43
16,16,46
17,17,42
18,18,46
19,19,43
20,20,46
21,21,46
22,22,46
23,23,46
24,24,40
25,25,46
26,26,40
27,27,44
28,28,46
29,29,37
30,30,44
31,1,42
32,1,41
33,1,40
34,1,35
35,3,40
36,3,35
37,3,34
38,3,33
39,4,35
40,4,34
41,4,33
42,4,46
43,5,42
44,5,35
45,5,33
46,5,31
47,6,44
48,6,40
49,6,35
50,6,33
51,7,40
52,7,37
53,7,35
54,8,37
55,8,35
56,8,34
57,9,40
58,10,40
59,11,44
60,11,43
61,11,42
62,11,41
63,12,42
64,12,41
65,12,40
66,12,34
67,13,46
68,13,41
69,13,34
70,13,33
71,14,42
72,14,41
73,14,40
74,14,34
75,15,42
76,15,41
77,15,34
78,15,33
79,16,41
80,16,40
81,16,34
82,16,33
83,17,41
84,17,40
85,17,34
86,17,33
87,18,44
88,18,43
89,18,42
90,18,33
91,19,41
92,19,40
93,19,34
94,19,33
95,20,45
96,20,34
97,20,33
98,20,32
99,21,45
100,21,41
101,21,40
102,21,31
103,22,45
104,22,40
105,22,34
106,22,31
107,23,45
108,23,41
109,23,40
110,23,34
111,24,37
112,24,35
113,24,34
114,25,40
115,26,37
116,26,35
117,26,34
118,27,37
119,28,45
120,28,44
121,28,33
122,28,31
123,30,37
